id,coord,weather,base,clouds,sys,areaid,name,cod,rain,visibility,dt,wind_degree,wind_speed,temp_max,temp_min,humidity,pressure,temp
ObjectId(571d9e4bd9125d030a58501e),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e4bd9125d030a58501f),"{""lon"":13,""lat"":42.03}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0052,""country"":""IT"",""sunrise"":1461557499,""sunset"":1461607247}",3168847,Roviano,200,"{""1h"":2.41}",,2014,320,5.1,283.15,278.15,93,1000,281.16
ObjectId(571d9e4cd9125d030a585020),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e4cd9125d030a585021),"{""lon"":12.9,""lat"":42.02}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0111,""country"":""IT"",""sunrise"":1461557525,""sunset"":1461607270}",3164394,Vicovaro,200,"{""1h"":2.41}",,2014,320,5.1,283.15,278.15,93,1000,281.51
ObjectId(571d9e4dd9125d030a585022),"{""lon"":12.97,""lat"":41.83}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0039,""country"":""IT"",""sunrise"":1461557529,""sunset"":1461607232}",3176230,Genazzano,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e4dd9125d030a585023),"{""lon"":12.91,""lat"":41.74}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0039,""country"":""IT"",""sunrise"":1461557553,""sunset"":1461607236}",3182778,Artena,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.26
ObjectId(571d9e4dd9125d030a585024),"{""lon"":13.09,""lat"":41.6}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0031,""country"":""IT"",""sunrise"":1461557525,""sunset"":1461607178}",3180431,Carpineto Romano,200,"{""1h"":2.29}",,2014,320,5.1,283.15,282.04,93,1000,282.72
ObjectId(571d9e4ed9125d030a585025),"{""lon"":12.93,""lat"":41.82}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0087,""country"":""IT"",""sunrise"":1461557539,""sunset"":1461607241}",3179288,Cave,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e4ed9125d030a585026),"{""lon"":13,""lat"":41.73}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0052,""country"":""IT"",""sunrise"":1461557533,""sunset"":1461607214}",3178398,Colleferro,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.02
ObjectId(571d9e4fd9125d030a585027),"{""lon"":13.03,""lat"":41.86}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0062,""country"":""IT"",""sunrise"":1461557511,""sunset"":1461607221}",3172074,Olevano Romano,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.04
ObjectId(571d9e4fd9125d030a585028),"{""lon"":12.89,""lat"":41.84}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0038,""country"":""IT"",""sunrise"":1461557547,""sunset"":1461607252}",3171606,Palestrina,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e50d9125d030a585029),"{""lon"":13.02,""lat"":41.69}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0037,""country"":""IT"",""sunrise"":1461557532,""sunset"":1461607204}",3166813,Segni,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.01
ObjectId(571d9e50d9125d030a58502a),"{""lon"":12.92,""lat"":41.78}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0046,""country"":""IT"",""sunrise"":1461557546,""sunset"":1461607239}",3164778,Valmontone,200,"{""1h"":2.29}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e50d9125d030a58502b),"{""lon"":12.81,""lat"":41.84}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.006,""country"":""IT"",""sunrise"":1461557566,""sunset"":1461607272}",3163932,Zagarolo,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.27
ObjectId(571d9e51d9125d030a58502c),"{""lon"":12.51,""lat"":41.67}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""},{""id"":211,""main"":""Thunderstorm"",""description"":""thunderstorm"",""icon"":""11d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5851,""message"":0.0038,""country"":""IT"",""sunrise"":1461557657,""sunset"":1461607325}",3170342,Pomezia,200,"{""1h"":1.78}",,2014,360,3.1,285.15,280.93,87,1000,283.2
ObjectId(571d9e51d9125d030a58502d),"{""lon"":12.63,""lat"":41.73}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0032,""country"":""IT"",""sunrise"":1461557621,""sunset"":1461607303}",6541651,Albano Laziale,200,"{""1h"":2.29}",,2014,320,5.1,285.15,280.37,93,1000,282.75
ObjectId(571d9e52d9125d030a58502e),"{""lon"":12.58,""lat"":41.5}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0072,""country"":""IT"",""sunrise"":1461557658,""sunset"":1461607289}",7302105,Lavinio,200,"{""1h"":2.29}",,2014,320,5.1,285.15,282.04,93,1000,283.28
